s_id,label,class_id,order,q_family_tag,phase_sector_mod3,dominant_dp_left,dominant_dg_left,commute_rate_probe,assoc_nonzero_rate,probe_order_preserve_rate,family_transition_entropy
154,1/2*e001 + -1/2*e010 + 1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
155,1/2*e001 + -1/2*e010 + 1/2*e100 + 1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
156,1/2*e001 + -1/2*e010 + 1/2*e011 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
159,1/2*e001 + -1/2*e011 + -1/2*e100 + 1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
160,1/2*e001 + -1/2*e011 + 1/2*e100 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
162,1/2*e001 + -1/2*e101 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
163,1/2*e001 + 1/2*e101 + -1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
165,1/2*e001 + 1/2*e101 + -1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
167,1/2*e001 + 1/2*e101 + 1/2*e110 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
168,1/2*e001 + -1/2*e101 + 1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
169,1/2*e001 + 1/2*e101 + 1/2*e110 + 1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
170,1/2*e001 + 1/2*e011 + -1/2*e100 + -1/2*e110,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
174,1/2*e001 + 1/2*e010 + -1/2*e011 + -1/2*e111,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
176,1/2*e001 + 1/2*e010 + -1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
178,1/2*e001 + 1/2*e010 + 1/2*e100 + -1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
179,1/2*e001 + 1/2*e010 + 1/2*e100 + 1/2*e101,SC0001,4,C112_complement_halfsum,0,0,0,0.015625,0.875000,0.552083,1.802421
2220,zeta12^9*(-1/2*e001 + -1/2*e010 + -1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2221,zeta12^9*(-1/2*e001 + -1/2*e010 + -1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2223,zeta12^9*(-1/2*e001 + -1/2*e010 + 1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2225,zeta12^9*(-1/2*e001 + -1/2*e010 + 1/2*e011 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2229,zeta12^9*(-1/2*e001 + -1/2*e011 + 1/2*e100 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2230,zeta12^9*(-1/2*e001 + -1/2*e101 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2231,zeta12^9*(-1/2*e001 + 1/2*e101 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2232,zeta12^9*(-1/2*e001 + -1/2*e101 + -1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2234,zeta12^9*(-1/2*e001 + -1/2*e101 + 1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2236,zeta12^9*(-1/2*e001 + -1/2*e101 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2237,zeta12^9*(-1/2*e001 + 1/2*e101 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2239,zeta12^9*(-1/2*e001 + 1/2*e011 + -1/2*e100 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2240,zeta12^9*(-1/2*e001 + 1/2*e011 + 1/2*e100 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2243,zeta12^9*(-1/2*e001 + 1/2*e010 + -1/2*e011 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2244,zeta12^9*(-1/2*e001 + 1/2*e010 + -1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2245,zeta12^9*(-1/2*e001 + 1/2*e010 + -1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2246,zeta12^9*(-1/2*e001 + 1/2*e010 + 1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2251,zeta12^9*(-1/2*e010 + -1/2*e011 + -1/2*e101 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2253,zeta12^9*(-1/2*e010 + -1/2*e011 + -1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2254,zeta12^9*(-1/2*e010 + -1/2*e011 + 1/2*e101 + 1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
