strategy,run_idx,candidate_lock_flag,propagating_flag,period,clock_signature_drift,phase_signature_std_mean,centroid_displacement,nonvac_final
bundle4,40,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,41,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,42,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,43,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,44,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,45,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,46,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,47,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,48,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,49,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,50,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,51,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,52,False,False,,0.6814182884564116,0.03484640303563929,0.23928571428571388,280
bundle4,53,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,54,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,55,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,56,False,False,,0.6420454545454546,0.04470351792914673,0.26048951048951086,286
bundle4,57,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,58,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,59,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,60,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,61,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,62,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,63,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,64,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,65,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,66,False,False,,0.6814182884564116,0.03484640303563929,0.23928571428571388,280
bundle4,67,False,False,,0.6420454545454546,0.04470351792914675,0.26048951048951086,286
bundle4,68,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,69,False,False,,0.7982537989869369,0.05190451112776425,0.23928571428571388,280
bundle4,70,False,False,,0.6814182884564116,0.03484640303563929,0.23928571428571388,280
bundle4,71,False,False,,0.8131609348618145,0.05225500767147623,0.23928571428571388,280
bundle4,72,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,73,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
bundle4,74,False,False,,0.6619234870701146,0.034323529416939114,0.23928571428571388,280
bundle4,75,False,False,,0.7982537989869369,0.05190451112776424,0.23928571428571388,280
bundle4,76,False,False,,0.8131609348618145,0.052255007671476235,0.23928571428571388,280
bundle4,77,False,False,,0.4546787523327112,0.025434660501882995,0.26048951048951086,286
bundle4,78,False,False,,0.6420454545454546,0.04470351792914674,0.26048951048951086,286
